date	central	east	south	west
20130331	3714	1565	-380	-7631
20130630	-1727	1082	-3046	856
20130930	1901	1488	545	1425
20131231	17888	11839	4153	9124
20140331	-154	-552	441	36
20140630	-15	1733	1681	415
20140930	49009	37660	31949	29299
20141231	61415	75481	13453	28487
20150331	3309	3609	-189	-571
20150630	-15	121	469	-123
20150930	85095	106517	18793	59203
20151231	73594	54765	9889	68715
20160331	91582	107756	11125	17073
20160630	3855	443	9675	28
20160930	3349	25839	-2114	38425
20161231	35868	45675	10701	26817
