date	central	east	south	west
20130331	25382	24928	3821	20812
20130630	13845	17553	8880	8897
20130930	8655	6485	13065	3608
20131231	49678	37469	13515	115378
20140331	168	3696	3479	828
20140630	22	3061	713	1770
20140930	203301	327152	120688	178828
20141231	234014	326117	147015	167127
20150331	14875	29659	5840	368
20150630	4	1657	805	172
20150930	353587	610918	262727	360084
20151231	435557	459063	288408	329147
20160331	491593	684182	360343	396828
20160630	8107	931	6773	204
20160930	226852	250491	146084	186917
20161231	228963	359760	129793	261385
